label,area_mm2,equiv_diameter_mm,major_axis_mm,minor_axis_mm,eccentricity,solidity,mean_intensity,centroid_y_px,centroid_x_px,grind_setting,model,image
71,0.255,0.5698,0.7893,0.4185,0.8479,0.9107,3.3,760.0490196078431,1104.1176470588234,40,watershed,40 IMG20260216081714 (1).jpg
72,0.24,0.5528,0.561,0.5501,0.1957,0.9143,3.8,763.4895833333334,350.9375,40,watershed,40 IMG20260216081714 (1).jpg
73,0.3875,0.7024,0.8975,0.6822,0.6498,0.8424,2.8,768.9935483870968,1084.5806451612902,40,watershed,40 IMG20260216081714 (1).jpg
74,0.155,0.4442,0.5564,0.371,0.7453,0.8611,28.7,767.758064516129,742.6612903225806,40,watershed,40 IMG20260216081714 (1).jpg
75,0.15,0.437,0.5375,0.3669,0.7308,0.9091,5.7,769.3,846.3,40,watershed,40 IMG20260216081714 (1).jpg
76,0.59,0.8667,1.0015,0.7737,0.635,0.944,1.8,775.0127118644068,919.457627118644,40,watershed,40 IMG20260216081714 (1).jpg
77,0.3275,0.6457,0.8265,0.6669,0.5907,0.7486,6.0,778.4656488549618,1048.4885496183206,40,watershed,40 IMG20260216081714 (1).jpg
78,0.54,0.8292,1.0782,0.6587,0.7917,0.8745,16.6,783.7129629629629,1298.4953703703704,40,watershed,40 IMG20260216081714 (1).jpg
79,0.66,0.9167,1.3059,0.7058,0.8414,0.8829,3.2,793.4734848484849,333.155303030303,40,watershed,40 IMG20260216081714 (1).jpg
80,0.61,0.8813,1.419,0.6794,0.8779,0.7219,4.2,790.8811475409836,412.6188524590164,40,watershed,40 IMG20260216081714 (1).jpg
81,0.45,0.7569,0.7926,0.7609,0.28,0.9137,1.9,795.9722222222222,1050.4166666666667,40,watershed,40 IMG20260216081714 (1).jpg
82,0.1575,0.4478,0.4952,0.4204,0.5282,0.9,6.7,795.3809523809524,589.1904761904761,40,watershed,40 IMG20260216081714 (1).jpg
83,0.32,0.6383,0.8394,0.5033,0.8003,0.9209,2.7,800.921875,577.75,40,watershed,40 IMG20260216081714 (1).jpg
